School Name,Instagram ID,Abbreviation
Maine South HS,"mainesouthfashion, ms_stuco, ms_eclub, mainesouthlibrary, mshsmedcareers","mshs, south, maine, ms"
Mark Keppel HS,"markkeppelhigh, mkhasb, mkhsaztecband, mkhsdance, theaztecnews, mkhs_girlsbasketball","mkhs, keppel"
Maspeth HS,"mhsboysvarssoccer, maspethhsboysvarstrack, maspeth_hs_rugby, maspethhsathletics, maspethhs.badminton, maspethhoops","mhs, maspeth"
Metea Valley HS,"mvhsasianamerican, mvhs.boystennis, mvcitizens, mvhsgirlswapo, meteamane, mvhs_boysvolleyball, meteavalley","MVHS, mvhs, Metea, metea, valley"
Midwood HS,"midwoodhsunicef. midwooddebateteam, mhsasianfest, midwoodphsclub, midwoodaerspace","Midwood, midwood, mhs, MHS"
Milton Academy,"maboyssoccer, mabvsquash, majvbsoccer, ma_skiteam, maclass2026, miltonacademysailing, magirlssoccerr, miltonacademy","MA, milton"
Mira Costa HS,"mchsdramatechdepartment, mchs.girlsgolf, mchsbands, miracosta_girlsflag, costaboyswp","mchs, Mchs, MCHS, costa, mira"
Monta Vista HS,"montavistawaterpolo, mvhstunt, montavistaptca, mvhs28, mvphyseng","mvhs, MVHS, Mvhs, monta, vista, mountain view"
Munster HS,"munsterhs, munsterchoirs, munsterforensics, munstergirlsbasketball, munsterhssac","mhs, munster"
Naperville Central HS,"nchsredhawkcheer, nchsgymnasticss, nchs_orch, nchstheatrecentral, nchs_tri_m","NCHS, nhs, Naperville"
Naperville North HS,"nnhsevsc, nnhs.wrestling_, nnhs_deca, nnhsnnmc, nnhs_nhs","nnhs, Naperville, nvnhs, nvhs, north, nn"
Neuqua Valley HS,"neuquaya, nvcatsbaseball, nvspeech, nvlaxgocats, neuquaband","nvhs, neuqua, valley, vhs"
New Trier Township HS,"newtrierhs_santa, newtrierfigureskating, newtriersailing, newtrierclimbing, ntmusic_comp","NT, nths, trier"
Northside College Preparatory HS,"ncpnhs, ncp_varsitydance, ncpmenslax, ncpwjvsoccer, ncp.football","ncp, northside"
Northwood HS,"northwoodhs, northwood.msa, nhs.marching, northwoodhsgolf, nhs_collegencareer, northwoodswimanddive","NHS, nhs, Northwood, northwood, nwhs"
Oak Park and River Forest HS,"holaoprf, oprfxc, oprfboystennis, oprfspeechteam, oprfhs_sportsmed, oprfathleticcouncil, oprfhs_huskies","oprf, OPRF, oak, river, forest"
Orange County School of the Arts (OCSA),"weareocsa, ocsaballroom, ocsapopularmusic, ocsacmd, ocsa_cah, ocsamt","ocsa, orange, county"
Phillips Academy Andover,"andoverphilo, andover2025, andover.2027, andover.2026, andoverathletics, phillipsacademy","Phillips Andover, PA, pa, Phillips, andover, Andover"
Phillips Exeter Academy,"phillipsexeter, phillipsexeterdance, phillipsacademy, exetergirlslacrosse, exeterfieldhockey, pea_lib","pea, Exeter, PEA, phillips"
Poly Prep Country Day School,"polyprep, polypreparts, polybluedevils, polyprepbase, polystudentgovernment, themorningdevil","poly prep, poly, ppcds, country"
Portola HS,"portolahsdance, portolatennis, portolahsclassof2026, phssenioractivities26, portolavisualarts","PHS, portola"
Prospect HS,"prospect_stem_club, prospectcsf, phs_lsu, prospect_tennis_club, prospecthighdebate, phsgn24, prospect.interact","phs, prospect"
Ransom Everglades School,"re_softball, re_boys_volleyball, re_student_philanthropy, ransomevergladesscuba, re_poetry_, ransomevergladesathletics","RE, Ransom Everglades, Ransom, Everglades, RES"
Redondo Union HS,"sammyseahawk, redondoathletics, ruhs_asb, ruhsfootball, ruhshoops, ruhscheer","ruhs, Redondo, Union"
Richmond Hill HS,"athletics_rhhs, rhhsfootball, richmondhillhs, rhhschorus, rhhs.baseball, rhhs_cheerleaders","rhhs, hill, richmond"
Rye Country Day School,"ryecountryday, ryecountrydayschool, rcdsfilmclub, rcdsprom2025, rye_country_day_mun, rcdsathletics","RCDS, rcds, Rye Country Day School, Rye Country"
Saint Ann's School,"sasvarsitysoccer, saint_annas_computer_center, sasblackstudentunion, sasboysjvsoccer","Saint Ann's, sas, SAS, saint ann's, saint anns"
Santa Monica HS,"samohi.surfteam, samoclass27, samoclass26, samohiathleticteams, samoclass29","samo, Samo, Santa Monica, santa monica, samohi, smhs, Smhs"
Sidwell Friends School,"sidwellfriends, sidwell_tf, sidwellsummer, sidwellfriendslibrary, sfsquackers","Sidwell, Sfs, sidwell, friends"
Sierra Canyon School,"sierracanyonschool, sierracanyonfootball, sierracanyonboysbasketball, sierracanyonatheletics, sierracanyonvolleyball","SCS, scs, sierra, canyon, sierra canyon, sc"
South Pasadena Senior HS,"sphsclass28, sphs_coastalcleanup, sphs.spark, sphscolorguardd, sphsboystennis, southpasadenasoccer","sphs, pasadena, pas, south, sp, "
St. Francis Preparatory School,"stfrancisprep, stfrancisprepathletics, stfrancisprepmusic, sfpfootball, sfpdanceteam, stfrancisprepmensbasketball","sfp, francis, sfps, "
St. John's School,"sjs.mrag, sjs.prism, sjsswimanddive, sjsboyslax, sjs_volleyball, sjssoftball","sjs, St. John's, john"
St. Joseph by the Sea HS,"stjosephbythesea, seavikingsbball, seavolleyball, stjseafootball, st.joseph_girlsflagfootball, seavikingsbaseball","joseph, sea, sjs"
Staten Island Technical HS,"sitechso, sitechstudentlife, sithsmercury, msitsoccer, _sammytheseagull, sithskeyclub","siths, sith, sit, staten, tech"
Stuyvesant HS,"stuyvesanthighschool, stuyvesanths_nyc, stuysu, stuyfootball, stuyspectator, stuyjuniorcaucus","stuy, stuyvesant"
Sunny Hills HS,"sunnyhillstfxc, sunnyhillsathletics, sunnyhillscolorguard, sunnyhillspercussion, shhs_epic_engineering","shhs, SHHS, Sunny Hills, sunny hills"
Susan E. Wagner HS,"wagnerjrotc, sewfalconsjournalism, susanwagnerband, wagnerdance, sewfalcons, wagnerhscheerleading","sewhs, whs, susan, wagner"
The Awty International School,"awtyvarsitytennis, reesegk09, awtygirlslacrosse, awtyjvfh, ayahpapayito, awtyintlschool","ais, awty, "
The Dalton School,"daltontigersgvb, daltoncommunityservice, daltondiyaclub, daltonxctf, daltongvt, daltonschoolnyc","dalton, ds, tds"
The Hockaday School,"annabellagriggs, hockadayhypewomen, thehockadayschool, hockadayathletics, hockascience, hockadaysocialimpact","hday, Hockaday, ths"
The John Cooper School,"cooper_dupuis21, thejohncooperschoolclumni, jcdragonxc, jcs_boysbball, cooper_varsity_boys_soccer, jcs.finearts, andres_valenzuelav","jcs, JCS, Jcs, cooper, tjcs, cooper, john"
The Pingry School,"pg_waterpolo, __pg.xc__, pingry_summer, pingry_outing_club, pingryschoolhonorboard, pingryjournalclub","Pingry, pingry, tps"
The Quarry Lane School,"qls.tbt, minds_unwind, qls_classof27, qls.pop, qls.cognicore, qlskeyclub, qlroar","qls, Quarry Lane, Quarry"
The Village School,"viking_seniors26, vhsboys_soccer, vhs.ndsa, ladyvikings_vb_, tennis.vhs, villagevikings","vhs, vilage, viking"
Townsend Harris HS,"townsend_harris_hs, thhssu, harrislam_, thhsperiod, thhskc","thhs, townsend, harris"
Trinity School,"trinityschoolnyc, voice_of_trinity, trinityschoolcollegeoffice","trinity, Trinity, ts"
Troy HS,"troyhighasb, troywarriors, troyhsfbla, troywarriorsathletics, troynjrotc, troyhighmusicprogram","ths, troy"
Valencia HS,"vhstigers, valenciyuhh, valenciabasketball, vhstigersfootball, vhstigersdanceteam","vhs, valencia"
Vanguard HS,"vanguardhsnyc, vanguardhspta, jrecpanthersvball, jrecbvb, jrecpantherscheer, jrecpanthersathletics","vhs, vanguard"
Vernon Hills HS,"vhenvhiro, vhhs_crc, vhhsgymnastics, vhhs_choirs, vhswim","vernon, hills, hill, vhhs, vhs"
Walnut HS,"walnuthigh_asb, walnut_mustangs, whsbluethunderband, whs.mustangathletics, walnutfbla, walnutfootball","whs, walnut"
Walter Payton College Preparatory HS,"wpcp_official, wpcpathletics, paytondebate, wpcp.studgov, paytonpoms, wpcpxc","wpcp, payton, wp"
West Ranch HS,"westranchwildcats, westranchathletics, wrclassof28, westranchasb, the_ranchhoops, westranchmusic","wrhs, wr, ranch"
Whitney M. Young Magnet HS,"wy.boxing, wyhsclassof2026, wydebate, wyhsboysgolf, realwylax","wy, whitney, magnet, wyhs"
William Fremd HS,"fremdhs_santa, fremd.gradweek2026, fremdboysswimanddive, fremdboosters, fremdboystennis","wfhs, fremd, fhs, william"
Woodbridge HS,"woodbridge_hs, woodbridge_ptsa, woodbridge_warriors, woodbridge_ice_hockey, whstrack_, warriors_whs","whs, WHS, woodbridge, Woodbridge, wbhs"
Xaverian HS,"xaverian_volleyball, xaverianvarsitytennis, xhsgsoccer, xaverianhsbaseball, xaverianxctf, xaveriangirlsvaristyswim","xhs, xaverian"
